,carat,cut,color,clarity,depth,table,x,y,z,price
25998,4.01,Premium,I,I1,61.0,61.0,10.14,10.1,6.17,15223
25999,4.01,Premium,J,I1,62.5,62.0,10.02,9.94,6.24,15223
26006,2.12,Premium,I,SI2,60.6,59.0,8.3,8.27,5.02,15235
26007,2.2,Premium,I,SI2,63.0,59.0,8.22,8.19,5.17,15238
26008,1.7,Premium,D,SI1,61.9,59.0,7.64,7.61,4.72,15238
26047,2.41,Premium,H,SI2,58.7,61.0,8.85,8.76,5.17,15248
26062,1.77,Premium,E,VS2,61.6,58.0,7.78,7.71,4.77,15278
26070,2.05,Premium,G,SI1,61.6,59.0,8.2,8.16,5.04,15291
26071,2.05,Premium,G,SI1,61.6,59.0,8.2,8.16,5.04,15291
26081,2.0,Premium,H,SI2,60.7,60.0,8.07,8.11,4.91,15312
26085,2.41,Premium,J,VS1,61.1,60.0,8.66,8.6,5.27,15320
26086,2.08,Premium,I,SI2,61.2,58.0,8.24,8.16,5.02,15321
26087,2.03,Premium,G,SI1,61.9,59.0,8.14,8.09,5.02,15322
26088,2.31,Premium,J,SI1,61.1,60.0,8.58,8.51,5.22,15323
26097,2.09,Premium,I,SI1,60.8,59.0,8.28,8.24,5.02,15339
26104,2.29,Premium,G,SI2,62.4,60.0,8.41,8.36,5.23,15366
26107,2.24,Premium,I,SI2,61.9,58.0,8.29,8.36,5.15,15375
26110,2.01,Premium,I,VS2,62.1,59.0,7.98,8.06,4.98,15379
26114,2.07,Premium,I,SI1,59.4,61.0,8.35,8.31,4.95,15392
26116,2.06,Premium,I,VS1,58.4,55.0,8.42,8.35,4.9,15393
26119,1.75,Premium,E,SI1,60.3,61.0,7.82,7.74,4.69,15394
26121,2.01,Premium,H,VS2,62.6,58.0,8.03,7.94,5.0,15395
26123,2.25,Premium,I,SI1,61.3,58.0,8.52,8.42,0.0,15397
26124,2.04,Premium,E,SI2,62.7,60.0,8.04,8.0,5.03,15398
26127,2.28,Premium,H,SI2,62.5,58.0,8.39,8.33,5.23,15413
26129,2.75,Premium,H,SI2,60.5,61.0,8.99,8.97,5.48,15415
26130,2.14,Premium,I,VS2,59.3,59.0,8.39,8.43,5.0,15418
26136,1.61,Premium,F,VS2,62.3,59.0,7.53,7.47,4.67,15426
26137,2.26,Premium,H,SI2,61.3,60.0,8.5,8.43,5.19,15428
26146,2.0,Premium,H,SI2,59.7,61.0,8.2,8.15,4.88,15451
26147,2.0,Premium,H,SI2,60.7,60.0,8.11,8.07,4.91,15451
26150,1.78,Premium,H,VS1,60.2,59.0,7.83,7.96,4.75,15460
26153,2.18,Premium,J,VS2,60.1,58.0,8.46,8.41,5.07,15465
26158,2.01,Premium,I,VS1,61.5,62.0,8.07,7.94,4.92,15475
26161,2.0,Premium,G,SI2,60.1,62.0,8.07,8.0,4.83,15485
26165,2.06,Premium,I,SI1,60.8,60.0,8.25,8.16,4.99,15494
26167,2.02,Premium,G,SI2,61.0,58.0,8.15,8.22,4.99,15498
26168,2.14,Premium,I,SI1,59.5,59.0,8.42,8.36,4.99,15499
26177,2.24,Premium,I,SI2,61.9,58.0,8.36,8.29,5.15,15515
26178,2.06,Premium,I,SI1,61.0,58.0,8.24,8.19,5.01,15517
26179,2.01,Premium,I,VS2,62.1,59.0,8.06,7.98,4.98,15520
26181,2.01,Premium,H,VS2,61.1,61.0,8.14,8.09,4.96,15528
26182,2.01,Premium,I,SI1,62.4,61.0,8.01,7.99,4.99,15528
26183,2.01,Premium,I,SI1,60.9,60.0,8.1,8.06,4.92,15528
26190,2.04,Premium,I,SI2,60.2,59.0,8.28,8.22,4.97,15543
26192,2.14,Premium,I,VS2,59.3,59.0,8.43,8.39,5.0,15559
26193,2.01,Premium,G,SI2,59.4,58.0,8.19,8.15,4.85,15562
26197,1.7,Premium,G,VS2,62.6,61.0,7.64,7.54,4.75,15568
26210,1.78,Premium,H,VS1,60.2,59.0,7.96,7.83,4.75,15601
26213,2.02,Premium,H,SI2,61.4,59.0,8.15,8.08,4.98,15606
26217,2.1,Premium,I,SI1,59.9,61.0,8.34,8.26,4.97,15615
26227,2.04,Premium,G,SI2,60.3,59.0,8.23,8.3,4.98,15651
26228,2.01,Premium,H,VS2,62.8,59.0,8.03,7.97,5.02,15651
26229,2.0,Premium,I,VS2,59.5,62.0,8.21,8.13,4.86,15651
26231,2.08,Premium,I,VVS1,62.2,58.0,8.22,8.18,5.1,15654
26233,1.7,Premium,E,SI1,62.3,57.0,7.68,7.6,4.76,15662
26236,1.71,Premium,G,VS2,59.3,60.0,7.86,7.81,4.65,15671
26238,2.01,Premium,H,SI2,62.2,61.0,8.08,8.04,5.01,15673
26241,2.03,Premium,I,SI1,61.4,58.0,8.13,8.09,4.98,15683
26253,2.01,Premium,I,SI1,62.4,61.0,8.01,7.99,4.99,15707
26258,2.06,Premium,I,SI1,60.8,60.0,8.25,8.16,4.99,15716
26271,2.15,Premium,G,SI2,58.9,58.0,8.46,8.41,4.97,15751
26274,2.11,Premium,G,SI2,59.1,59.0,8.33,8.4,4.94,15757
26277,2.04,Premium,H,SI2,62.7,56.0,8.12,8.06,5.07,15760
26284,2.01,Premium,H,SI2,62.3,58.0,8.06,8.11,5.04,15773
26288,2.27,Premium,H,SI2,60.7,59.0,8.5,8.45,5.15,15783
26298,1.7,Premium,G,VS2,59.0,58.0,7.8,7.85,4.62,15797
26299,2.19,Premium,H,SI1,62.3,62.0,8.27,8.25,5.15,15801
26300,1.72,Premium,G,VS2,61.1,58.0,7.69,7.73,4.71,15801
26304,1.7,Premium,E,SI1,60.1,58.0,7.78,7.74,4.66,15804
26305,1.7,Premium,E,SI1,61.8,58.0,7.62,7.52,4.68,15804
26307,1.76,Premium,E,SI1,60.5,58.0,7.93,7.84,4.77,15805
26309,2.02,Premium,I,VS2,62.9,59.0,8.03,7.93,5.02,15808
26313,2.34,Premium,I,SI1,61.7,60.0,8.59,8.53,5.28,15818
26314,2.1,Premium,I,SI1,61.5,59.0,8.28,8.24,5.08,15818
26328,2.01,Premium,J,VVS1,62.2,58.0,8.1,7.89,5.0,15836
26329,2.05,Premium,I,SI1,61.2,57.0,8.24,8.21,5.03,15837
26333,2.01,Premium,F,SI2,59.5,59.0,8.24,8.15,4.88,15841
26381,2.08,Premium,E,SI2,62.3,59.0,8.22,8.16,5.1,15873
26389,1.69,Premium,G,VVS2,62.9,58.0,7.59,7.51,4.75,15889
26390,2.05,Premium,I,VS2,62.5,59.0,8.07,8.12,5.06,15897
26391,2.0,Premium,G,SI2,62.1,59.0,8.12,8.02,5.01,15897
26392,2.2,Premium,G,SI2,60.4,60.0,8.44,8.36,5.08,15897
26395,2.01,Premium,H,VS2,61.1,61.0,8.14,8.09,4.96,15908
26396,2.14,Premium,I,SI1,61.3,61.0,8.32,8.28,5.09,15913
26397,2.14,Premium,I,SI2,60.1,58.0,8.41,8.37,5.04,15915
26398,2.01,Premium,H,SI2,62.3,58.0,8.11,8.06,5.04,15917
26399,2.39,Premium,H,SI1,61.8,58.0,8.57,8.52,5.28,15917
26400,2.01,Premium,H,SI2,63.0,59.0,7.93,7.9,4.99,15917
26404,2.4,Premium,J,SI1,59.7,58.0,8.75,8.71,5.21,15920
26409,2.03,Premium,H,SI2,61.6,58.0,8.09,8.17,5.01,15930
26411,2.5,Premium,H,SI2,62.4,59.0,8.61,8.54,5.35,15934
26414,2.01,Premium,I,VS2,60.3,62.0,8.13,8.08,4.89,15939
26415,2.01,Premium,I,VS2,60.3,62.0,8.13,8.08,4.89,15939
26416,1.7,Premium,G,VS2,60.3,60.0,7.72,7.64,4.63,15941
26417,1.7,Premium,G,VS2,59.0,58.0,7.85,7.8,4.62,15941
26420,1.72,Premium,G,VS2,61.1,58.0,7.73,7.69,4.71,15946
26424,2.06,Premium,G,SI2,59.8,61.0,8.26,8.22,4.93,15949
26435,2.21,Premium,G,SI2,60.7,62.0,8.48,8.42,5.13,15970
26439,2.01,Premium,G,SI2,59.8,58.0,8.21,8.15,4.89,15977
26441,2.0,Premium,H,SI1,60.1,61.0,8.13,8.1,4.88,15984
26442,2.0,Premium,E,SI2,58.1,60.0,8.32,8.25,4.81,15984
26445,2.02,Premium,H,VS2,61.3,60.0,8.16,8.11,4.99,15987
26450,2.3,Premium,H,SI2,62.7,56.0,8.46,8.42,5.29,15992
26454,2.07,Premium,I,SI1,62.3,60.0,8.16,8.12,5.07,15992
26457,2.02,Premium,H,SI2,59.9,55.0,8.28,8.17,4.93,15996
26459,2.25,Premium,J,SI1,61.8,61.0,8.46,8.39,5.21,16004
26462,2.37,Premium,H,SI2,62.3,57.0,8.55,8.5,5.31,16021
26464,2.23,Premium,J,VS1,61.7,58.0,8.41,8.34,5.17,16025
26465,2.0,Premium,H,SI2,62.8,56.0,8.04,7.98,5.03,16031
26479,2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,16064
26480,1.6,Premium,G,VVS2,60.6,60.0,7.51,7.57,4.57,16068
26481,2.0,Premium,I,VS2,58.6,62.0,8.2,8.17,4.8,16068
26484,2.03,Premium,H,SI2,61.6,58.0,8.17,8.09,5.01,16075
26494,2.24,Premium,I,SI2,62.5,59.0,8.36,8.28,5.2,16097
26495,2.06,Premium,H,SI2,60.0,60.0,6.29,6.25,4.96,16098
26496,2.31,Premium,J,VVS1,62.1,58.0,8.49,8.42,5.25,16100
26500,2.1,Premium,G,SI2,60.9,57.4,8.17,8.27,5.0,16112
26501,1.62,Premium,F,VS1,61.3,57.0,7.6,7.55,4.64,16112
26503,1.7,Premium,G,VS2,60.9,60.0,7.71,7.68,4.69,16123
26515,2.01,Premium,I,VS2,61.6,61.0,8.08,7.97,4.94,16149
26521,1.98,Premium,I,VS1,62.5,58.0,7.95,7.99,4.98,16171
26523,2.28,Premium,J,VS1,60.3,58.0,8.58,8.53,5.16,16174
26531,2.2,Premium,I,SI2,62.4,55.0,8.41,8.34,5.23,16190
26532,2.02,Premium,I,SI1,62.5,59.0,8.05,8.01,5.02,16191
26534,3.67,Premium,I,I1,62.4,56.0,9.86,9.81,6.13,16193
26535,2.58,Premium,H,SI2,62.6,57.0,8.77,8.73,5.48,16195
26536,2.42,Premium,J,SI2,62.3,58.0,8.63,8.55,5.35,16198
26537,2.42,Premium,J,SI2,58.5,59.0,8.85,8.82,5.17,16198
26538,2.42,Premium,J,SI2,62.4,58.0,8.58,8.53,5.34,16198
26541,1.6,Premium,G,VVS2,60.6,60.0,7.57,7.51,4.57,16215
26543,1.75,Premium,G,VS2,62.8,59.0,7.62,7.53,4.76,16220
26548,1.87,Premium,E,SI1,61.9,58.0,7.94,7.88,4.9,16232
26551,2.05,Premium,H,VS2,60.7,61.0,8.25,8.13,4.97,16235
26552,2.32,Premium,F,SI2,62.5,59.0,8.51,8.44,5.3,16237
26560,2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,16241
26561,2.01,Premium,G,SI1,62.3,61.0,7.96,7.89,5.02,16242
26563,1.73,Premium,E,SI1,62.6,58.0,7.67,7.59,4.78,16253
26567,2.0,Premium,G,SI2,61.8,58.0,8.05,7.99,4.96,16262
26568,2.38,Premium,J,VS2,62.6,59.0,8.52,8.49,5.32,16273
26571,2.51,Premium,J,SI2,59.3,58.0,8.83,8.87,5.25,16278
26575,2.01,Premium,H,SI1,58.2,62.0,8.26,8.21,4.79,16287
26576,2.01,Premium,H,SI2,60.5,61.0,8.14,8.09,4.91,16287
26588,2.4,Premium,J,SI1,59.7,58.0,8.75,8.71,5.21,16304
26589,2.03,Premium,I,VS2,60.5,62.0,8.22,8.17,4.96,16309
26590,2.03,Premium,I,VS2,58.5,60.0,8.37,8.34,4.89,16309
26592,2.65,Premium,G,SI2,62.0,61.0,8.82,8.75,5.45,16314
26599,2.02,Premium,G,SI1,62.3,61.0,8.07,7.96,4.99,16323
26601,2.11,Premium,G,SI2,62.2,60.0,8.19,8.15,5.08,16336
26604,2.35,Premium,H,SI2,62.3,58.0,8.51,8.44,5.28,16340
26609,2.1,Premium,F,SI2,62.1,59.0,8.16,8.18,5.07,16357
26610,2.05,Premium,G,SI2,60.1,59.0,8.2,8.3,4.96,16357
26615,2.02,Premium,I,SI1,60.9,60.0,8.13,8.1,4.94,16368
26616,2.28,Premium,J,VS2,62.4,58.0,8.45,8.35,5.24,16369
26624,2.14,Premium,H,VS2,61.7,58.0,8.28,8.22,5.09,16390
26626,2.07,Premium,I,SI1,62.9,59.0,8.15,8.09,5.11,16392
26627,2.11,Premium,H,VS2,60.8,61.0,8.32,8.28,5.05,16395
26631,2.16,Premium,H,SI2,59.7,60.0,8.38,8.3,4.98,16400
26643,2.04,Premium,G,SI2,61.8,56.0,8.13,8.05,5.0,16426
26644,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,16427
26647,2.05,Premium,H,SI2,62.5,58.0,8.12,8.08,5.06,16431
26648,2.06,Premium,G,SI2,61.8,58.0,8.1,8.15,5.02,16437
26661,2.17,Premium,D,SI2,62.2,59.0,8.28,8.34,5.17,16472
26663,2.1,Premium,H,SI2,60.4,59.0,8.28,8.33,5.02,16479
26664,2.03,Premium,I,VS2,60.5,62.0,8.22,8.17,4.96,16483
26665,2.0,Premium,D,SI2,60.8,60.0,8.15,8.1,4.94,16484
26668,2.01,Premium,I,SI1,61.5,60.0,8.12,8.01,4.96,16499
26669,2.01,Premium,H,SI2,61.6,58.0,8.12,8.02,4.97,16499
26731,2.05,Premium,G,SI2,60.1,59.0,8.3,8.2,4.96,16506
26740,1.7,Premium,G,VS1,61.0,59.0,7.7,7.64,4.68,16521
26742,2.47,Premium,J,SI2,59.4,59.0,8.85,8.79,5.24,16532
26746,2.0,Premium,I,VS2,60.7,60.0,8.02,8.07,4.88,16544
26756,2.28,Premium,J,VS2,62.9,58.0,8.42,8.34,5.27,16564
26764,1.69,Premium,F,VS2,58.7,59.0,7.87,7.78,4.59,16583
26765,2.06,Premium,G,SI2,61.8,58.0,8.15,8.1,5.02,16587
26772,2.05,Premium,I,SI1,60.6,58.0,8.22,8.13,4.95,16611
26779,2.01,Premium,I,VS2,60.5,60.0,8.15,8.17,4.94,16626
26784,2.1,Premium,H,SI2,60.4,59.0,8.33,8.28,5.02,16629
26786,2.03,Premium,E,SI1,62.9,57.0,8.04,7.98,5.04,16629
26792,2.38,Premium,H,SI1,58.2,60.0,8.81,8.78,5.12,16643
26796,2.24,Premium,H,SI2,61.4,57.0,8.43,8.35,5.15,16656
26797,2.21,Premium,F,SI2,59.6,60.0,8.53,8.49,5.07,16657
26803,2.39,Premium,H,SI1,60.6,58.0,8.65,8.58,5.22,16687
26810,2.0,Premium,I,VS2,60.7,60.0,8.07,8.02,4.88,16694
26811,2.01,Premium,I,VS2,61.7,60.0,8.09,8.02,4.97,16700
26816,2.02,Premium,I,VS2,59.6,60.0,8.2,8.25,4.9,16709
26819,2.48,Premium,I,SI1,61.0,60.0,8.68,8.61,5.27,16715
26826,2.14,Premium,H,SI2,62.0,60.0,8.27,8.19,5.1,16723
26830,2.01,Premium,H,SI1,60.6,62.0,8.08,8.05,4.89,16733
26831,2.01,Premium,H,SI1,60.9,59.0,8.15,8.04,4.93,16733
26832,2.01,Premium,H,SI1,61.5,53.0,8.13,8.03,4.97,16733
26835,2.01,Premium,G,SI2,59.0,60.0,8.31,8.26,4.89,16733
26839,2.03,Premium,H,SI1,61.7,59.0,8.1,8.17,5.02,16747
26842,2.04,Premium,I,VS2,61.0,61.0,8.14,8.08,4.95,16768
26845,2.01,Premium,D,SI2,62.7,58.0,8.06,7.99,5.03,16776
26846,2.13,Premium,G,SI2,60.7,60.0,8.27,8.37,5.05,16778
26847,2.01,Premium,I,VS2,62.8,58.0,8.01,7.94,5.01,16778
26848,2.01,Premium,I,VS2,62.7,58.0,7.98,7.94,4.99,16778
26849,2.01,Premium,I,VS2,59.2,62.0,8.17,8.14,4.83,16778
26850,2.01,Premium,I,VS2,62.6,59.0,8.04,8.01,5.02,16778
26851,2.01,Premium,I,VS2,61.0,61.0,8.15,7.99,4.92,16778
26852,2.01,Premium,I,VS2,60.5,60.0,8.17,8.15,4.94,16778
26855,1.71,Premium,F,VS2,60.8,58.0,7.79,7.7,4.71,16779
26856,2.1,Premium,E,SI2,62.9,59.0,8.18,8.13,5.13,16783
26859,1.75,Premium,G,VS2,61.5,59.0,7.76,7.66,4.74,16783
26861,2.03,Premium,I,SI1,61.2,58.0,8.21,8.16,5.01,16787
26870,2.4,Premium,F,SI2,62.6,59.0,8.53,8.49,5.33,16797
26874,2.21,Premium,F,SI1,62.1,59.0,8.33,8.26,5.15,16804
26875,2.23,Premium,G,SI2,61.4,58.0,8.41,8.32,5.14,16805
26879,1.71,Premium,G,VS1,62.7,58.0,7.66,7.62,4.79,16813
26882,2.48,Premium,I,VS2,60.1,58.0,8.83,8.76,5.29,16820
26888,2.08,Premium,G,VS2,61.3,58.0,8.21,8.17,5.02,16854
26889,2.06,Premium,F,SI2,61.7,59.0,8.21,8.13,5.04,16857
26890,2.02,Premium,I,VS2,59.6,60.0,8.25,8.2,4.9,16861
26891,2.04,Premium,D,SI2,61.8,60.0,8.09,8.13,5.01,16872
26895,1.76,Premium,G,VS2,61.5,58.0,7.78,7.74,4.77,16879
26896,2.01,Premium,F,SI2,60.3,60.0,8.11,8.08,4.88,16881
26897,2.01,Premium,F,SI2,61.3,61.0,8.11,8.01,4.94,16881
26899,2.05,Premium,I,VS2,60.8,58.0,8.26,8.19,5.0,16896
26900,2.03,Premium,H,SI1,61.7,59.0,8.17,8.1,5.02,16900
26913,2.02,Premium,G,SI2,61.3,56.0,8.22,8.16,5.02,16929
26914,2.13,Premium,G,SI2,60.7,60.0,8.37,8.27,5.05,16931
26915,2.53,Premium,J,SI2,62.6,57.0,8.77,8.67,5.46,16934
26917,1.93,Premium,H,VS1,60.5,60.0,7.98,8.06,4.85,16941
26918,2.04,Premium,I,SI1,62.2,57.0,8.14,8.07,5.04,16942
26919,2.02,Premium,G,SI2,60.1,59.0,8.21,8.29,4.96,16944
26922,2.28,Premium,H,SI2,61.9,61.0,8.42,8.32,5.18,16954
26926,2.01,Premium,H,SI1,58.5,58.0,8.3,8.25,4.84,16956
26927,2.07,Premium,E,SI1,61.2,58.0,8.24,8.19,5.03,16957
26928,1.73,Premium,G,VS2,61.6,58.0,7.74,7.71,4.76,16960
26929,1.73,Premium,G,VS2,62.9,58.0,7.65,7.58,4.79,16960
26932,3.0,Premium,I,SI2,60.7,59.0,9.3,9.14,5.6,16970
26934,1.73,Premium,F,VS2,61.2,58.0,7.76,7.69,4.73,16975
26935,2.02,Premium,H,SI1,62.1,61.0,8.06,7.99,4.98,16985
26939,2.12,Premium,H,SI2,59.1,59.0,8.47,8.43,4.99,16992
26940,2.27,Premium,J,VS1,62.4,58.0,8.36,8.41,5.23,16994
26941,2.2,Premium,H,SI2,61.1,59.0,8.41,8.35,5.12,16996
26942,2.31,Premium,I,SI2,58.8,58.0,8.7,8.64,5.1,17000
26943,2.09,Premium,H,SI2,62.1,58.0,8.17,8.22,5.09,17001
26949,2.06,Premium,G,SI2,61.7,58.0,8.2,8.15,5.04,17012
26950,2.01,Premium,G,SI2,59.9,62.0,8.15,8.04,4.85,17014
26951,2.19,Premium,H,SI1,61.6,58.0,8.35,8.3,5.13,17016
26952,1.75,Premium,F,VS2,61.4,58.0,7.72,7.76,4.75,17017
26959,2.04,Premium,I,VS2,62.5,58.0,8.22,8.09,5.1,17028
26962,2.14,Premium,I,VS2,60.7,59.0,8.28,8.33,5.04,17038
26964,1.71,Premium,G,VS1,62.3,58.0,7.61,7.65,4.75,17041
26966,2.13,Premium,F,SI2,61.5,58.0,8.28,8.33,5.11,17045
26974,2.32,Premium,J,VS2,62.4,57.0,8.48,8.4,5.27,17053
26976,2.01,Premium,G,VS2,60.6,59.0,8.16,8.12,4.93,17057
26980,2.05,Premium,E,SI2,58.6,59.0,8.43,8.36,4.92,17066
26983,2.01,Premium,I,VS1,62.9,62.0,8.02,7.98,5.03,17068
26985,2.01,Premium,H,VS2,60.1,61.0,8.14,8.06,4.87,17068
26987,2.13,Premium,H,SI2,62.3,57.0,8.24,8.16,5.11,17073
26991,2.05,Premium,E,SI2,59.7,59.0,8.27,8.39,4.97,17081
26996,1.93,Premium,H,VS1,60.5,60.0,8.06,7.98,4.85,17096
26997,2.02,Premium,G,SI2,60.1,59.0,8.29,8.21,4.96,17099
27005,2.57,Premium,E,SI2,61.3,60.0,8.82,8.73,5.38,17116
27010,2.14,Premium,D,SI2,59.8,59.0,8.4,8.36,5.01,17127
27011,2.0,Premium,G,SI2,60.4,61.0,8.21,8.12,4.93,17136
27016,2.71,Premium,E,SI2,60.4,59.0,9.13,9.03,5.48,17146
27017,2.27,Premium,J,VS1,62.4,58.0,8.41,8.36,5.23,17149
27020,2.02,Premium,I,VS1,61.2,59.0,8.13,8.05,4.95,17153
27021,2.09,Premium,H,SI2,62.1,58.0,8.22,8.17,5.09,17156
27025,2.02,Premium,H,SI2,61.5,58.0,8.14,8.1,4.99,17166
27026,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,17168
27027,2.42,Premium,J,VS2,61.3,59.0,8.61,8.58,5.27,17168
27028,1.75,Premium,F,VS2,61.4,58.0,7.76,7.72,4.75,17172
27029,2.0,Premium,F,SI1,58.8,61.0,8.29,8.23,4.86,17172
27062,2.01,Premium,E,SI2,58.9,60.0,8.24,8.2,4.84,17179
27063,2.01,Premium,E,SI2,62.0,61.0,8.1,8.04,5.0,17179
27066,2.56,Premium,J,SI1,61.4,58.0,8.76,8.73,5.37,17186
27067,2.01,Premium,H,VS2,61.6,61.0,8.14,8.07,4.99,17191
27068,1.75,Premium,G,VS1,59.6,60.0,7.9,7.76,4.67,17191
27071,2.14,Premium,I,VS2,60.7,59.0,8.33,8.28,5.04,17193
27074,1.71,Premium,G,VS1,62.3,58.0,7.65,7.61,4.75,17197
27077,1.6,Premium,G,VVS1,61.5,58.0,7.48,7.58,4.63,17204
27080,2.6,Premium,J,SI2,58.3,61.0,9.05,8.94,5.24,17209
27085,2.31,Premium,I,SI2,62.9,58.0,8.43,8.34,5.27,17218
27089,2.15,Premium,H,SI2,62.8,58.0,8.22,8.17,5.15,17221
27093,1.7,Premium,G,VVS2,61.5,60.0,7.64,7.59,4.68,17228
27095,2.25,Premium,H,SI1,61.5,61.0,8.47,8.41,5.19,17233
27096,2.01,Premium,D,SI2,61.8,59.0,8.15,8.07,5.01,17235
27097,2.01,Premium,H,SI1,62.3,58.0,8.04,7.99,4.99,17235
27098,2.05,Premium,E,SI2,59.7,59.0,8.39,8.27,4.97,17237
27104,2.12,Premium,I,VS2,61.5,58.0,8.3,8.26,5.09,17254
27106,2.08,Premium,H,VS2,62.0,58.0,8.19,8.1,5.05,17258
27107,2.42,Premium,I,VS1,59.8,59.0,8.8,8.78,5.26,17262
27111,2.02,Premium,H,SI1,62.1,61.0,8.06,7.99,4.98,17265
27112,2.2,Premium,H,SI1,61.2,59.0,8.42,8.37,0.0,17265
27115,2.0,Premium,I,VS1,61.1,58.0,8.08,8.11,4.95,17278
27117,2.05,Premium,E,SI2,62.5,56.0,8.17,8.08,5.08,17294
27118,2.35,Premium,I,SI2,59.9,58.0,8.68,8.61,5.18,17294
27119,2.35,Premium,I,SI2,61.1,58.0,8.63,8.56,5.25,17294
27123,2.16,Premium,I,SI1,62.9,55.0,8.28,8.2,5.18,17313
27128,1.7,Premium,E,VS2,62.9,58.0,7.57,7.54,4.75,17323
27133,2.01,Premium,G,SI1,62.5,58.0,7.98,8.08,5.02,17334
27137,2.01,Premium,H,SI1,61.8,58.0,8.13,8.06,5.0,17347
27140,1.93,Premium,H,VS2,62.8,58.0,7.91,7.86,4.95,17353
27142,1.79,Premium,G,VS2,61.2,58.0,7.9,7.82,4.81,17358
27143,1.6,Premium,G,VVS1,61.5,58.0,7.58,7.48,4.63,17360
27150,2.04,Premium,E,SI2,58.3,58.0,8.35,8.31,4.86,17379
27155,2.03,Premium,G,SI2,60.1,60.0,8.27,8.2,4.95,17393
27158,2.01,Premium,G,SI2,60.1,60.0,8.25,8.18,4.94,17403
27166,2.14,Premium,I,VS2,62.3,58.0,8.22,8.16,5.1,17416
27169,2.01,Premium,I,VS2,61.1,60.0,8.06,8.12,4.94,17433
27172,2.0,Premium,I,VS1,61.1,58.0,8.11,8.08,4.95,17436
27178,2.31,Premium,J,VS1,62.3,61.0,8.55,8.43,5.29,17451
27179,2.51,Premium,J,SI1,59.6,60.0,8.84,8.79,5.25,17452
27181,2.01,Premium,H,SI1,59.6,59.0,8.27,8.19,4.9,17458
27186,2.18,Premium,H,SI2,59.1,60.0,8.49,8.45,5.01,17473
27187,2.01,Premium,I,SI1,60.2,59.0,8.18,8.12,4.91,17474
27191,2.02,Premium,H,SI1,61.1,60.0,8.19,8.11,4.98,17489
27192,1.7,Premium,G,VS1,61.2,57.0,7.73,7.64,4.7,17492
27199,2.14,Premium,G,SI2,60.4,59.0,8.32,8.38,5.04,17513
27203,2.05,Premium,H,SI1,60.2,58.0,8.25,8.22,4.96,17521
27204,2.52,Premium,H,SI2,62.4,57.0,8.72,8.66,5.43,17522
27206,2.21,Premium,G,SI2,62.4,60.0,8.34,8.29,5.19,17525
